"roaming_partner","Month","Symbol","Customer","Country","Value","Comment","KPI Count","KPIname","Aggr. type"
"MA.ORANGE","06/01/2018","M2M CAL COM RAT VOI","Customer B M2M","Morocco","100.0","-","25.0","Call completion rate voice","default avg"
"MA.ORANGE","06/01/2018","M2M CAL DRO RAT VOI","Customer B M2M","Morocco","0.0","-","25.0","Call drop rate voice","default avg"
"MA.ORANGE","06/01/2018","M2M LAT MOD BAC: 3G","Customer B M2M","Morocco","509.3","-","2117.0","Latency between car telematics module and Customer B backend (3G)","default avg"
"MA.ORANGE","06/01/2018","M2M LAT MOD BAC: LTE","Customer B M2M","Morocco","359.2","-","41924.0","Latency between car telematics module and Customer B backend (LTE)","default avg"
"MA.ORANGE","06/01/2018","M2M SER DWN DUR","Customer B M2M","Morocco","49.65034965034965","-","143.0","Network KPI-Intern. Mobile Network Availability-AT WBC","Average"
"MA.ORANGE","06/01/2018","M2M SMS DEL TIM","Customer B M2M","Morocco","5.0","-","52848.0","SMS_delivery_time","default avg"
"MA.ORANGE","06/01/2018","M2M SMS SUC RAT","Customer B M2M","Morocco","98.28","-","53030.0","SMS_success_Rate_MT","default avg"
"MA.ORANGE","06/01/2018","M2M TRA SPL: 2G","Customer B M2M","Morocco","0.0","-","51894.0","Traffic split according to radio access technology (2G)","Average"
"MA.ORANGE","06/01/2018","M2M TRA SPL: 3G","Customer B M2M","Morocco","5.02","-","51894.0","Traffic split according to radio access technology (3G)","Average"
"MA.ORANGE","06/01/2018","M2M TRA SPL: LTE","Customer B M2M","Morocco","94.98","-","51894.0","Traffic split according to radio access technology (4G)","Average"
"MA.WANA","06/01/2018","M2M AVA DAT CON","Customer B M2M","Morocco","98.19","-","48416.0","Availability of Data connections","Average"
"MA.WANA","06/01/2018","M2M AVG DAT SPE DWL 2G","Customer B M2M","Morocco","179.416","-","10.0","M2M-Average data speed downlink_2G","Average"
"MA.WANA","06/01/2018","M2M AVG DAT SPE DWL 3G","Customer B M2M","Morocco","2605.6487272727277","-","11.0","M2M-Average data speed downlink_3G","Average"
"MA.WANA","06/01/2018","M2M AVG DAT SPE DWL LTE","Customer B M2M","Morocco","10923.535272727271","-","11.0","M2M-Average data speed downlink_4G","Average"
"MA.WANA","06/01/2018","M2M AVG DAT SPE UPL 2G","Customer B M2M","Morocco","63.83482352941175","-","17.0","M2M-Average data speed uplink_2G","Average"
"MA.WANA","06/01/2018","M2M AVG DAT SPE UPL 3G","Customer B M2M","Morocco","254.38981818181819","-","11.0","M2M-Average data speed uplink_3G","Average"
"MA.WANA","06/01/2018","M2M AVG DAT SPE UPL LTE","Customer B M2M","Morocco","11623.194181818182","-","11.0","M2M-Average data speed uplink_4G","Average"
"MA.WANA","06/01/2018","M2M CAL COM RAT VOI","Customer B M2M","Morocco","100.0","-","9.0","Call completion rate voice","default avg"
"MA.WANA","06/01/2018","M2M CAL DRO RAT VOI","Customer B M2M","Morocco","11.11","-","9.0","Call drop rate voice","default avg"
"MA.WANA","06/01/2018","M2M LAT MOD BAC: 3G","Customer B M2M","Morocco","262.8","-","572.0","Latency between car telematics module and Customer B backend (3G)","default avg"
"MA.WANA","06/01/2018","M2M LAT MOD BAC: LTE","Customer B M2M","Morocco","77.0","-","18678.0","Latency between car telematics module and Customer B backend (LTE)","default avg"
"MA.WANA","06/01/2018","M2M SER DWN DUR","Customer B M2M","Morocco","97.2556194458965","-","3826.0","Network KPI-Intern. Mobile Network Availability-AT WBC","Average"
"MA.WANA","06/01/2018","M2M SMS DEL TIM","Customer B M2M","Morocco","5.0","-","14093.0","SMS_delivery_time","default avg"
"MA.WANA","06/01/2018","M2M SMS SUC RAT","Customer B M2M","Morocco","94.99","-","14157.0","SMS_success_Rate_MT","default avg"
"MA.WANA","06/01/2018","M2M TRA SPL: 2G","Customer B M2M","Morocco","2.05","-","23954.0","Traffic split according to radio access technology (2G)","Average"
"MA.WANA","06/01/2018","M2M TRA SPL: 3G","Customer B M2M","Morocco","2.9699999999999998","-","23954.0","Traffic split according to radio access technology (3G)","Average"
"MA.WANA","06/01/2018","M2M TRA SPL: LTE","Customer B M2M","Morocco","94.98","-","23954.0","Traffic split according to radio access technology (4G)","Average"
